parent,state_code,state,category,term,state_category_percentage,state_category_percentage_label,state_term_percentage,state_term_percentage_label
origin,HI,Hawaii,Care,support network,0.1333,13.33%,0.4177,41.77%
origin,HI,Hawaii,Education,28 other terms,0.0533,5.33%,0.2266,22.66%
origin,HI,Hawaii,Education,more education,0.0533,5.33%,0.5042,50.42%
origin,HI,Hawaii,Education,skills & training,0.0533,5.33%,0.2692,26.919999999999998%
origin,HI,Hawaii,Food,37 other terms,0.1826,18.26%,0.0987,9.87%
origin,HI,Hawaii,Food,emergency food,0.1826,18.26%,0.0515,5.1499999999999995%
origin,HI,Hawaii,Food,food delivery,0.1826,18.26%,0.1181,11.81%
origin,HI,Hawaii,Food,food pantry,0.1826,18.26%,0.6096,60.96%
origin,HI,Hawaii,Food,help pay for food,0.1826,18.26%,0.0645,6.45%
origin,HI,Hawaii,Food,meals,0.1826,18.26%,0.0576,5.76%
origin,HI,Hawaii,Goods,88 other terms,0.0426,4.26%,0.3072,30.72%
origin,HI,Hawaii,Goods,baby supplies,0.0426,4.26%,0.0532,5.3199999999999994%
origin,HI,Hawaii,Goods,clothing,0.0426,4.26%,0.2288,22.88%
origin,HI,Hawaii,Goods,diapers & formula,0.0426,4.26%,0.0686,6.8599999999999994%
origin,HI,Hawaii,Goods,furniture,0.0426,4.26%,0.0537,5.37%
origin,HI,Hawaii,Goods,home goods,0.0426,4.26%,0.1347,13.469999999999999%
origin,HI,Hawaii,Goods,toys & gifts,0.0426,4.26%,0.1537,15.370000000000001%
origin,HI,Hawaii,Health,292 other terms,0.1624,16.24%,0.3263,32.629999999999995%
origin,HI,Hawaii,Health,community support services,0.1624,16.24%,0.0542,5.42%
origin,HI,Hawaii,Health,end-of-life care,0.1624,16.24%,0.0546,5.46%
origin,HI,Hawaii,Health,health education,0.1624,16.24%,0.108,10.8%
origin,HI,Hawaii,Health,help pay for healthcare,0.1624,16.24%,0.133,13.3%
origin,HI,Hawaii,Health,medical care,0.1624,16.24%,0.1587,15.870000000000001%
origin,HI,Hawaii,Health,medical supplies,0.1624,16.24%,0.0707,7.07%
origin,HI,Hawaii,Health,mental health care,0.1624,16.24%,0.0945,9.45%
origin,HI,Hawaii,Housing,177 other terms,0.2071,20.71%,0.3537,35.370000000000005%
origin,HI,Hawaii,Housing,help find housing,0.2071,20.71%,0.0954,9.54%
origin,HI,Hawaii,Housing,help pay for housing,0.2071,20.71%,0.2194,21.94%
origin,HI,Hawaii,Housing,help pay for utilities,0.2071,20.71%,0.1885,18.85%
origin,HI,Hawaii,Housing,temporary shelter,0.2071,20.71%,0.1431,14.31%
origin,HI,Hawaii,Legal,27 other terms,0.019,1.9%,0.1128,11.28%
origin,HI,Hawaii,Legal,advocacy & legal aid,0.019,1.9%,0.5656,56.56%
origin,HI,Hawaii,Legal,mediation,0.019,1.9%,0.0506,5.06%
origin,HI,Hawaii,Legal,representation,0.019,1.9%,0.0936,9.36%
origin,HI,Hawaii,Legal,translation & interpretation,0.019,1.9%,0.0867,8.67%
origin,HI,Hawaii,Legal,workplace rights,0.019,1.9%,0.0907,9.07%
origin,HI,Hawaii,Money,58 other terms,0.1288,12.879999999999999%,0.1993,19.93%
origin,HI,Hawaii,Money,financial aid & loans,0.1288,12.879999999999999%,0.0542,5.42%
origin,HI,Hawaii,Money,financial assistance,0.1288,12.879999999999999%,0.5078,50.78%
origin,HI,Hawaii,Money,financial education,0.1288,12.879999999999999%,0.0506,5.06%
origin,HI,Hawaii,Money,government benefits,0.1288,12.879999999999999%,0.069,6.9%
origin,HI,Hawaii,Money,help pay for car,0.1288,12.879999999999999%,0.0502,5.0200000000000005%
origin,HI,Hawaii,Money,help pay for school,0.1288,12.879999999999999%,0.0689,6.8900000000000006%
origin,HI,Hawaii,Other,653 other terms,0.0131,1.31%,1,100%
origin,HI,Hawaii,Transit,43 other terms,0.0487,4.87%,0.0446,4.46%
origin,HI,Hawaii,Transit,bus passes,0.0487,4.87%,0.0696,6.9599999999999991%
origin,HI,Hawaii,Transit,help pay for gas,0.0487,4.87%,0.1089,10.89%
origin,HI,Hawaii,Transit,help pay for transit,0.0487,4.87%,0.1651,16.509999999999998%
origin,HI,Hawaii,Transit,transportation,0.0487,4.87%,0.4401,44.01%
origin,HI,Hawaii,Transit,transportation for healthcare,0.0487,4.87%,0.1717,17.169999999999998%
origin,HI,Hawaii,Work,13 other terms,0.0091,0.91%,0.1104,11.04%
origin,HI,Hawaii,Work,help find work,0.0091,0.91%,0.5956,59.56%
origin,HI,Hawaii,Work,job placement,0.0091,0.91%,0.294,29.4%
"",HI,Hawaii,origin,origin,0,"",0,""
origin,IA,Iowa,Care,176 other terms,0.0898,8.98%,0.3447,34.47%
origin,IA,Iowa,Care,animal welfare,0.0898,8.98%,0.0751,7.51%
origin,IA,Iowa,Care,burial & funeral help,0.0898,8.98%,0.0524,5.24%
origin,IA,Iowa,Care,navigating the system,0.0898,8.98%,0.0912,9.120000000000001%
origin,IA,Iowa,Care,support groups,0.0898,8.98%,0.2334,23.34%
origin,IA,Iowa,Care,support network,0.0898,8.98%,0.2031,20.31%
origin,IA,Iowa,Education,38 other terms,0.0303,3.0300000000000002%,0.2789,27.889999999999997%
origin,IA,Iowa,Education,english as a second language (esl),0.0303,3.0300000000000002%,0.0872,8.72%
origin,IA,Iowa,Education,more education,0.0303,3.0300000000000002%,0.2828,28.28%
origin,IA,Iowa,Education,skills & training,0.0303,3.0300000000000002%,0.1959,19.59%
origin,IA,Iowa,Education,specialized training,0.0303,3.0300000000000002%,0.0656,6.5600000000000005%
origin,IA,Iowa,Education,supported employment,0.0303,3.0300000000000002%,0.0897,8.97%
origin,IA,Iowa,Food,66 other terms,0.1772,17.72%,0.0516,5.16%
origin,IA,Iowa,Food,emergency food,0.1772,17.72%,0.0718,7.1800000000000006%
origin,IA,Iowa,Food,food delivery,0.1772,17.72%,0.1241,12.41%
origin,IA,Iowa,Food,food pantry,0.1772,17.72%,0.484,48.4%
origin,IA,Iowa,Food,government food benefits,0.1772,17.72%,0.0669,6.69%
origin,IA,Iowa,Food,help pay for food,0.1772,17.72%,0.0754,7.5399999999999991%
origin,IA,Iowa,Food,meals,0.1772,17.72%,0.1263,12.629999999999999%
origin,IA,Iowa,Goods,172 other terms,0.0801,8.01%,0.3718,37.18%
origin,IA,Iowa,Goods,baby supplies,0.0801,8.01%,0.0872,8.72%
origin,IA,Iowa,Goods,clothing,0.0801,8.01%,0.2385,23.849999999999998%
origin,IA,Iowa,Goods,diapers & formula,0.0801,8.01%,0.0693,6.93%
origin,IA,Iowa,Goods,furniture,0.0801,8.01%,0.1133,11.33%
origin,IA,Iowa,Goods,toys & gifts,0.0801,8.01%,0.12,12%
origin,IA,Iowa,Health,538 other terms,0.1237,12.370000000000001%,0.6665,66.649999999999991%
origin,IA,Iowa,Health,dental care,0.1237,12.370000000000001%,0.0551,5.5100000000000007%
origin,IA,Iowa,Health,help pay for healthcare,0.1237,12.370000000000001%,0.0887,8.870000000000001%
origin,IA,Iowa,Health,medical care,0.1237,12.370000000000001%,0.0736,7.3599999999999994%
origin,IA,Iowa,Health,medical supplies,0.1237,12.370000000000001%,0.0624,6.2399999999999993%
origin,IA,Iowa,Health,mental health care,0.1237,12.370000000000001%,0.0538,5.38%
origin,IA,Iowa,Housing,332 other terms,0.2567,25.669999999999998%,0.3418,34.18%
origin,IA,Iowa,Housing,help find housing,0.2567,25.669999999999998%,0.0848,8.48%
origin,IA,Iowa,Housing,help pay for housing,0.2567,25.669999999999998%,0.2972,29.720000000000002%
origin,IA,Iowa,Housing,help pay for utilities,0.2567,25.669999999999998%,0.1626,16.259999999999998%
origin,IA,Iowa,Housing,temporary shelter,0.2567,25.669999999999998%,0.1136,11.360000000000001%
origin,IA,Iowa,Legal,40 other terms,0.0159,1.59%,0.163,16.3%
origin,IA,Iowa,Legal,advocacy & legal aid,0.0159,1.59%,0.3504,35.04%
origin,IA,Iowa,Legal,citizenship & immigration,0.0159,1.59%,0.1461,14.610000000000001%
origin,IA,Iowa,Legal,discrimination & civil rights,0.0159,1.59%,0.0508,5.08%
origin,IA,Iowa,Legal,representation,0.0159,1.59%,0.2102,21.02%
origin,IA,Iowa,Legal,translation & interpretation,0.0159,1.59%,0.0795,7.95%
origin,IA,Iowa,Money,114 other terms,0.1223,12.23%,0.252,25.2%
origin,IA,Iowa,Money,emergency payments,0.1223,12.23%,0.0592,5.92%
origin,IA,Iowa,Money,financial aid & loans,0.1223,12.23%,0.0519,5.19%
origin,IA,Iowa,Money,financial assistance,0.1223,12.23%,0.4702,47.02%
origin,IA,Iowa,Money,help pay for car,0.1223,12.23%,0.1107,11.07%
origin,IA,Iowa,Money,personal loans,0.1223,12.23%,0.056,5.6000000000000005%
origin,IA,Iowa,Other,1777 other terms,0.0162,1.6199999999999999%,1,100%
origin,IA,Iowa,Transit,68 other terms,0.0784,7.84%,0.0464,4.64%
origin,IA,Iowa,Transit,bus passes,0.0784,7.84%,0.0926,9.26%
origin,IA,Iowa,Transit,help pay for gas,0.0784,7.84%,0.1534,15.340000000000002%
origin,IA,Iowa,Transit,help pay for transit,0.0784,7.84%,0.0941,9.41%
origin,IA,Iowa,Transit,transportation,0.0784,7.84%,0.4156,41.56%
origin,IA,Iowa,Transit,transportation for healthcare,0.0784,7.84%,0.1978,19.78%
origin,IA,Iowa,Work,21 other terms,0.0094,0.94000000000000006%,0.1044,10.440000000000001%
origin,IA,Iowa,Work,help find work,0.0094,0.94000000000000006%,0.4245,42.449999999999996%
origin,IA,Iowa,Work,job placement,0.0094,0.94000000000000006%,0.4711,47.11%
"",IA,Iowa,origin,origin,0,"",0,""
origin,ID,Idaho,Care,190 other terms,0.1064,10.639999999999999%,0.3628,36.28%
origin,ID,Idaho,Care,animal welfare,0.1064,10.639999999999999%,0.0595,5.9499999999999993%
origin,ID,Idaho,Care,navigating the system,0.1064,10.639999999999999%,0.1201,12.01%
origin,ID,Idaho,Care,support groups,0.1064,10.639999999999999%,0.1727,17.27%
origin,ID,Idaho,Care,support network,0.1064,10.639999999999999%,0.2849,28.49%
origin,ID,Idaho,Education,51 other terms,0.0402,4.02%,0.2825,28.249999999999996%
origin,ID,Idaho,Education,english as a second language (esl),0.0402,4.02%,0.0876,8.76%
origin,ID,Idaho,Education,more education,0.0402,4.02%,0.3548,35.480000000000004%
origin,ID,Idaho,Education,skills & training,0.0402,4.02%,0.2177,21.77%
origin,ID,Idaho,Education,supported employment,0.0402,4.02%,0.0574,5.74%
origin,ID,Idaho,Food,60 other terms,0.1452,14.52%,0.1233,12.33%
origin,ID,Idaho,Food,emergency food,0.1452,14.52%,0.0652,6.52%
origin,ID,Idaho,Food,food delivery,0.1452,14.52%,0.0695,6.9500000000000011%
origin,ID,Idaho,Food,food pantry,0.1452,14.52%,0.5899,58.989999999999995%
origin,ID,Idaho,Food,help pay for food,0.1452,14.52%,0.0646,6.4600000000000009%
origin,ID,Idaho,Food,meals,0.1452,14.52%,0.0875,8.75%
origin,ID,Idaho,Goods,181 other terms,0.0603,6.03%,0.4144,41.44%
origin,ID,Idaho,Goods,baby supplies,0.0603,6.03%,0.0558,5.58%
origin,ID,Idaho,Goods,clothing,0.0603,6.03%,0.2427,24.27%
origin,ID,Idaho,Goods,diapers & formula,0.0603,6.03%,0.0941,9.41%
origin,ID,Idaho,Goods,furniture,0.0603,6.03%,0.06,6%
origin,ID,Idaho,Goods,toys & gifts,0.0603,6.03%,0.133,13.3%
origin,ID,Idaho,Health,523 other terms,0.1561,15.61%,0.5583,55.83%
origin,ID,Idaho,Health,community support services,0.1561,15.61%,0.0686,6.8599999999999994%
origin,ID,Idaho,Health,health education,0.1561,15.61%,0.0619,6.1899999999999995%
origin,ID,Idaho,Health,help pay for healthcare,0.1561,15.61%,0.0978,9.78%
origin,ID,Idaho,Health,medical care,0.1561,15.61%,0.0919,9.19%
origin,ID,Idaho,Health,medical supplies,0.1561,15.61%,0.053,5.3%
origin,ID,Idaho,Health,mental health care,0.1561,15.61%,0.0686,6.8599999999999994%
origin,ID,Idaho,Housing,360 other terms,0.2559,25.590000000000003%,0.4501,45.01%
origin,ID,Idaho,Housing,help find housing,0.2559,25.590000000000003%,0.0827,8.27%
origin,ID,Idaho,Housing,help pay for housing,0.2559,25.590000000000003%,0.2641,26.41%
origin,ID,Idaho,Housing,help pay for utilities,0.2559,25.590000000000003%,0.111,11.1%
origin,ID,Idaho,Housing,temporary shelter,0.2559,25.590000000000003%,0.092,9.2%
origin,ID,Idaho,Legal,67 other terms,0.0215,2.15%,0.2056,20.560000000000002%
origin,ID,Idaho,Legal,advocacy & legal aid,0.0215,2.15%,0.3968,39.68%
origin,ID,Idaho,Legal,citizenship & immigration,0.0215,2.15%,0.1015,10.15%
origin,ID,Idaho,Legal,representation,0.0215,2.15%,0.1815,18.15%
origin,ID,Idaho,Legal,translation & interpretation,0.0215,2.15%,0.0612,6.12%
origin,ID,Idaho,Legal,workplace rights,0.0215,2.15%,0.0534,5.34%
origin,ID,Idaho,Money,113 other terms,0.116,11.600000000000001%,0.3523,35.23%
origin,ID,Idaho,Money,financial aid & loans,0.116,11.600000000000001%,0.0523,5.2299999999999995%
origin,ID,Idaho,Money,financial assistance,0.116,11.600000000000001%,0.5048,50.480000000000004%
origin,ID,Idaho,Money,help pay for car,0.116,11.600000000000001%,0.0906,9.06%
origin,ID,Idaho,Other,1998 other terms,0.0261,2.6100000000000003%,0.932,93.2%
origin,ID,Idaho,Other,single parent,0.0261,2.6100000000000003%,0.068,6.8000000000000007%
origin,ID,Idaho,Transit,62 other terms,0.0619,6.1899999999999995%,0.0673,6.7299999999999995%
origin,ID,Idaho,Transit,bus passes,0.0619,6.1899999999999995%,0.0792,7.9200000000000008%
origin,ID,Idaho,Transit,help pay for gas,0.0619,6.1899999999999995%,0.2168,21.68%
origin,ID,Idaho,Transit,help pay for transit,0.0619,6.1899999999999995%,0.1084,10.84%
origin,ID,Idaho,Transit,transportation,0.0619,6.1899999999999995%,0.3704,37.04%
origin,ID,Idaho,Transit,transportation for healthcare,0.0619,6.1899999999999995%,0.1579,15.790000000000001%
origin,ID,Idaho,Work,24 other terms,0.0103,1.03%,0.1328,13.28%
origin,ID,Idaho,Work,help find work,0.0103,1.03%,0.4269,42.69%
origin,ID,Idaho,Work,job placement,0.0103,1.03%,0.4402,44.019999999999996%
"",ID,Idaho,origin,origin,0,"",0,""
origin,IL,Illinois,Care,248 other terms,0.0778,7.7799999999999994%,0.4123,41.23%
origin,IL,Illinois,Care,animal welfare,0.0778,7.7799999999999994%,0.1015,10.15%
origin,IL,Illinois,Care,bereavement,0.0778,7.7799999999999994%,0.05,5%
origin,IL,Illinois,Care,burial & funeral help,0.0778,7.7799999999999994%,0.0514,5.1400000000000006%
origin,IL,Illinois,Care,navigating the system,0.0778,7.7799999999999994%,0.0579,5.79%
origin,IL,Illinois,Care,support groups,0.0778,7.7799999999999994%,0.2093,20.93%
origin,IL,Illinois,Care,support network,0.0778,7.7799999999999994%,0.1176,11.76%
origin,IL,Illinois,Education,69 other terms,0.0315,3.15%,0.2584,25.840000000000003%
origin,IL,Illinois,Education,english as a second language (esl),0.0315,3.15%,0.1993,19.93%
origin,IL,Illinois,Education,ged/high-school equivalency,0.0315,3.15%,0.0562,5.62%
origin,IL,Illinois,Education,more education,0.0315,3.15%,0.1632,16.32%
origin,IL,Illinois,Education,skills & training,0.0315,3.15%,0.1347,13.469999999999999%
origin,IL,Illinois,Education,specialized training,0.0315,3.15%,0.0784,7.84%
origin,IL,Illinois,Education,supported employment,0.0315,3.15%,0.1098,10.979999999999999%
origin,IL,Illinois,Food,102 other terms,0.2291,22.91%,0.2058,20.580000000000002%
origin,IL,Illinois,Food,food delivery,0.2291,22.91%,0.0725,7.2499999999999991%
origin,IL,Illinois,Food,food pantry,0.2291,22.91%,0.7217,72.17%
origin,IL,Illinois,Goods,241 other terms,0.0689,6.8900000000000006%,0.3369,33.69%
origin,IL,Illinois,Goods,baby supplies,0.0689,6.8900000000000006%,0.0742,7.42%
origin,IL,Illinois,Goods,clothing,0.0689,6.8900000000000006%,0.2181,21.81%
origin,IL,Illinois,Goods,diapers & formula,0.0689,6.8900000000000006%,0.1143,11.43%
origin,IL,Illinois,Goods,furniture,0.0689,6.8900000000000006%,0.1373,13.73%
origin,IL,Illinois,Goods,toys & gifts,0.0689,6.8900000000000006%,0.1193,11.93%
origin,IL,Illinois,Health,806 other terms,0.1128,11.28%,0.7027,70.27%
origin,IL,Illinois,Health,community support services,0.1128,11.28%,0.0506,5.06%
origin,IL,Illinois,Health,dental care,0.1128,11.28%,0.057,5.7%
origin,IL,Illinois,Health,help pay for healthcare,0.1128,11.28%,0.0661,6.61%
origin,IL,Illinois,Health,medical care,0.1128,11.28%,0.0637,6.370000000000001%
origin,IL,Illinois,Health,mental health care,0.1128,11.28%,0.0599,5.99%
origin,IL,Illinois,Housing,471 other terms,0.2728,27.279999999999998%,0.2772,27.72%
origin,IL,Illinois,Housing,help find housing,0.2728,27.279999999999998%,0.1131,11.31%
origin,IL,Illinois,Housing,help pay for housing,0.2728,27.279999999999998%,0.2162,21.62%
origin,IL,Illinois,Housing,help pay for utilities,0.2728,27.279999999999998%,0.1335,13.350000000000001%
origin,IL,Illinois,Housing,housing vouchers,0.2728,27.279999999999998%,0.052,5.2%
origin,IL,Illinois,Housing,short-term housing,0.2728,27.279999999999998%,0.0515,5.1499999999999995%
origin,IL,Illinois,Housing,temporary shelter,0.2728,27.279999999999998%,0.1565,15.65%
origin,IL,Illinois,Legal,77 other terms,0.0152,1.52%,0.2438,24.38%
origin,IL,Illinois,Legal,advocacy & legal aid,0.0152,1.52%,0.296,29.599999999999998%
origin,IL,Illinois,Legal,citizenship & immigration,0.0152,1.52%,0.2028,20.28%
origin,IL,Illinois,Legal,discrimination & civil rights,0.0152,1.52%,0.057,5.7%
origin,IL,Illinois,Legal,representation,0.0152,1.52%,0.2003,20.03%
origin,IL,Illinois,Money,148 other terms,0.0915,9.15%,0.3889,38.89%
origin,IL,Illinois,Money,financial aid & loans,0.0915,9.15%,0.0736,7.3599999999999994%
origin,IL,Illinois,Money,financial assistance,0.0915,9.15%,0.4102,41.02%
origin,IL,Illinois,Money,help pay for car,0.0915,9.15%,0.1272,12.72%
origin,IL,Illinois,Other,5533 other terms,0.0185,1.8499999999999999%,1,100%
origin,IL,Illinois,Transit,91 other terms,0.0667,6.67%,0.0516,5.16%
origin,IL,Illinois,Transit,bus passes,0.0667,6.67%,0.1076,10.76%
origin,IL,Illinois,Transit,help pay for gas,0.0667,6.67%,0.0982,9.82%
origin,IL,Illinois,Transit,help pay for transit,0.0667,6.67%,0.0951,9.51%
origin,IL,Illinois,Transit,transportation,0.0667,6.67%,0.3723,37.230000000000004%
origin,IL,Illinois,Transit,transportation for healthcare,0.0667,6.67%,0.2751,27.51%
origin,IL,Illinois,Work,39 other terms,0.0151,1.51%,0.1184,11.84%
origin,IL,Illinois,Work,help find work,0.0151,1.51%,0.339,33.900000000000006%
origin,IL,Illinois,Work,job placement,0.0151,1.51%,0.5426,54.26%
"",IL,Illinois,origin,origin,0,"",0,""
origin,IN,Indiana,Care,276 other terms,0.0685,6.8500000000000005%,0.5085,50.849999999999994%
origin,IN,Indiana,Care,animal welfare,0.0685,6.8500000000000005%,0.0804,8.04%
origin,IN,Indiana,Care,navigating the system,0.0685,6.8500000000000005%,0.0625,6.25%
origin,IN,Indiana,Care,support groups,0.0685,6.8500000000000005%,0.2119,21.19%
origin,IN,Indiana,Care,support network,0.0685,6.8500000000000005%,0.1368,13.68%
origin,IN,Indiana,Education,68 other terms,0.028,2.8000000000000003%,0.218,21.8%
origin,IN,Indiana,Education,english as a second language (esl),0.028,2.8000000000000003%,0.2134,21.34%
origin,IN,Indiana,Education,ged/high-school equivalency,0.028,2.8000000000000003%,0.0934,9.34%
origin,IN,Indiana,Education,help find school,0.028,2.8000000000000003%,0.0532,5.3199999999999994%
origin,IN,Indiana,Education,more education,0.028,2.8000000000000003%,0.1247,12.47%
origin,IN,Indiana,Education,skills & training,0.028,2.8000000000000003%,0.1065,10.65%
origin,IN,Indiana,Education,specialized training,0.028,2.8000000000000003%,0.0883,8.83%
origin,IN,Indiana,Education,supported employment,0.028,2.8000000000000003%,0.1027,10.27%
origin,IN,Indiana,Food,106 other terms,0.1929,19.29%,0.1095,10.95%
origin,IN,Indiana,Food,emergency food,0.1929,19.29%,0.0787,7.870000000000001%
origin,IN,Indiana,Food,food delivery,0.1929,19.29%,0.1215,12.15%
origin,IN,Indiana,Food,food pantry,0.1929,19.29%,0.5485,54.85%
origin,IN,Indiana,Food,help pay for food,0.1929,19.29%,0.0736,7.3599999999999994%
origin,IN,Indiana,Food,meals,0.1929,19.29%,0.0682,6.8199999999999994%
origin,IN,Indiana,Goods,288 other terms,0.0779,7.79%,0.3961,39.61%
origin,IN,Indiana,Goods,baby supplies,0.0779,7.79%,0.0819,8.19%
origin,IN,Indiana,Goods,clothing,0.0779,7.79%,0.2075,20.75%
origin,IN,Indiana,Goods,diapers & formula,0.0779,7.79%,0.078,7.8%
origin,IN,Indiana,Goods,furniture,0.0779,7.79%,0.0862,8.62%
origin,IN,Indiana,Goods,toys & gifts,0.0779,7.79%,0.1504,15.040000000000001%
origin,IN,Indiana,Health,837 other terms,0.12,12%,0.7248,72.48%
origin,IN,Indiana,Health,dental care,0.12,12%,0.0567,5.67%
origin,IN,Indiana,Health,help pay for healthcare,0.12,12%,0.0644,6.4399999999999995%
origin,IN,Indiana,Health,medical care,0.12,12%,0.0527,5.27%
origin,IN,Indiana,Health,medical supplies,0.12,12%,0.0509,5.09%
origin,IN,Indiana,Health,mental health care,0.12,12%,0.0505,5.0500000000000007%
origin,IN,Indiana,Housing,544 other terms,0.2948,29.48%,0.299,29.9%
origin,IN,Indiana,Housing,help find housing,0.2948,29.48%,0.1283,12.83%
origin,IN,Indiana,Housing,help pay for housing,0.2948,29.48%,0.2505,25.05%
origin,IN,Indiana,Housing,help pay for utilities,0.2948,29.48%,0.1602,16.02%
origin,IN,Indiana,Housing,housing vouchers,0.2948,29.48%,0.0585,5.8500000000000005%
origin,IN,Indiana,Housing,temporary shelter,0.2948,29.48%,0.1036,10.36%
origin,IN,Indiana,Legal,96 other terms,0.0168,1.68%,0.3473,34.73%
origin,IN,Indiana,Legal,advocacy & legal aid,0.0168,1.68%,0.2824,28.24%
origin,IN,Indiana,Legal,citizenship & immigration,0.0168,1.68%,0.1329,13.29%
origin,IN,Indiana,Legal,representation,0.0168,1.68%,0.2374,23.74%
origin,IN,Indiana,Money,154 other terms,0.1051,10.51%,0.28,28.000000000000004%
origin,IN,Indiana,Money,financial aid & loans,0.1051,10.51%,0.0631,6.3100000000000005%
origin,IN,Indiana,Money,financial assistance,0.1051,10.51%,0.499,49.9%
origin,IN,Indiana,Money,help pay for car,0.1051,10.51%,0.1048,10.48%
origin,IN,Indiana,Money,personal loans,0.1051,10.51%,0.0531,5.3100000000000005%
origin,IN,Indiana,Other,5725 other terms,0.0182,1.82%,1,100%
origin,IN,Indiana,Transit,94 other terms,0.0635,6.35%,0.0531,5.3100000000000005%
origin,IN,Indiana,Transit,bus passes,0.0635,6.35%,0.1047,10.47%
origin,IN,Indiana,Transit,help pay for gas,0.0635,6.35%,0.1519,15.190000000000001%
origin,IN,Indiana,Transit,help pay for transit,0.0635,6.35%,0.1017,10.17%
origin,IN,Indiana,Transit,transportation,0.0635,6.35%,0.3952,39.519999999999996%
origin,IN,Indiana,Transit,transportation for healthcare,0.0635,6.35%,0.1933,19.33%
origin,IN,Indiana,Work,31 other terms,0.0142,1.4200000000000002%,0.1356,13.56%
origin,IN,Indiana,Work,help find work,0.0142,1.4200000000000002%,0.3448,34.48%
origin,IN,Indiana,Work,job placement,0.0142,1.4200000000000002%,0.5196,51.959999999999994%
"",IN,Indiana,origin,origin,0,"",0,""
origin,KS,Kansas,Care,174 other terms,0.1001,10.01%,0.3898,38.98%
origin,KS,Kansas,Care,animal welfare,0.1001,10.01%,0.0808,8.08%
origin,KS,Kansas,Care,burial & funeral help,0.1001,10.01%,0.0579,5.79%
origin,KS,Kansas,Care,navigating the system,0.1001,10.01%,0.0879,8.7900000000000009%
origin,KS,Kansas,Care,support groups,0.1001,10.01%,0.1872,18.72%
origin,KS,Kansas,Care,support network,0.1001,10.01%,0.1964,19.64%
origin,KS,Kansas,Education,39 other terms,0.0313,3.1300000000000003%,0.2819,28.189999999999998%
origin,KS,Kansas,Education,english as a second language (esl),0.0313,3.1300000000000003%,0.1126,11.26%
origin,KS,Kansas,Education,ged/high-school equivalency,0.0313,3.1300000000000003%,0.0588,5.88%
origin,KS,Kansas,Education,more education,0.0313,3.1300000000000003%,0.2997,29.970000000000002%
origin,KS,Kansas,Education,skills & training,0.0313,3.1300000000000003%,0.1592,15.920000000000002%
origin,KS,Kansas,Education,supported employment,0.0313,3.1300000000000003%,0.0877,8.77%
origin,KS,Kansas,Food,56 other terms,0.158,15.8%,0.1209,12.09%
origin,KS,Kansas,Food,emergency food,0.158,15.8%,0.0778,7.7799999999999994%
origin,KS,Kansas,Food,food delivery,0.158,15.8%,0.0977,9.77%
origin,KS,Kansas,Food,food pantry,0.158,15.8%,0.5314,53.14%
origin,KS,Kansas,Food,help pay for food,0.158,15.8%,0.0824,8.24%
origin,KS,Kansas,Food,meals,0.158,15.8%,0.0898,8.98%
origin,KS,Kansas,Goods,177 other terms,0.0769,7.6899999999999995%,0.2958,29.580000000000002%
origin,KS,Kansas,Goods,baby supplies,0.0769,7.6899999999999995%,0.0909,9.09%
origin,KS,Kansas,Goods,clothing,0.0769,7.6899999999999995%,0.2458,24.58%
origin,KS,Kansas,Goods,diapers & formula,0.0769,7.6899999999999995%,0.1025,10.25%
origin,KS,Kansas,Goods,furniture,0.0769,7.6899999999999995%,0.0544,5.4399999999999995%
origin,KS,Kansas,Goods,toys & gifts,0.0769,7.6899999999999995%,0.2107,21.07%
origin,KS,Kansas,Health,470 other terms,0.1381,13.81%,0.5679,56.79%
origin,KS,Kansas,Health,community support services,0.1381,13.81%,0.0502,5.0200000000000005%
origin,KS,Kansas,Health,dental care,0.1381,13.81%,0.0651,6.5100000000000007%
origin,KS,Kansas,Health,health education,0.1381,13.81%,0.0503,5.0299999999999994%
origin,KS,Kansas,Health,help pay for healthcare,0.1381,13.81%,0.084,8.4%
origin,KS,Kansas,Health,medical care,0.1381,13.81%,0.0705,7.0499999999999989%
origin,KS,Kansas,Health,medical supplies,0.1381,13.81%,0.0526,5.26%
origin,KS,Kansas,Health,mental health care,0.1381,13.81%,0.0595,5.9499999999999993%
origin,KS,Kansas,Housing,308 other terms,0.255,25.5%,0.4169,41.69%
origin,KS,Kansas,Housing,help find housing,0.255,25.5%,0.0756,7.5600000000000005%
origin,KS,Kansas,Housing,help pay for housing,0.255,25.5%,0.2328,23.28%
origin,KS,Kansas,Housing,help pay for utilities,0.255,25.5%,0.1906,19.06%
origin,KS,Kansas,Housing,temporary shelter,0.255,25.5%,0.0842,8.42%
origin,KS,Kansas,Legal,50 other terms,0.0185,1.8499999999999999%,0.245,24.5%
origin,KS,Kansas,Legal,advocacy & legal aid,0.0185,1.8499999999999999%,0.3985,39.85%
origin,KS,Kansas,Legal,citizenship & immigration,0.0185,1.8499999999999999%,0.1075,10.75%
origin,KS,Kansas,Legal,identification recovery,0.0185,1.8499999999999999%,0.0551,5.5100000000000007%
origin,KS,Kansas,Legal,representation,0.0185,1.8499999999999999%,0.1256,12.559999999999999%
origin,KS,Kansas,Legal,translation & interpretation,0.0185,1.8499999999999999%,0.0683,6.83%
origin,KS,Kansas,Money,101 other terms,0.1318,13.18%,0.3689,36.89%
